Date,Open,High,Low,Close,Adj Close,Volume
2007-03-29,11.873671,12.035938,11.628614,11.858769,7.487023,20598020
2007-03-30,11.938247,12.004478,11.772668,11.905131,7.516297,21797447
2007-04-02,11.900164,11.900164,11.607089,11.689878,7.380395,14471640
2007-04-03,11.838899,12.209796,11.838899,12.052496,7.609335,16486388
2007-04-04,12.035938,12.244568,11.954805,12.188271,7.695057,13397832
2007-04-05,12.188271,12.282651,12.103826,12.282651,7.754641,19519381
2007-04-09,12.302521,12.446574,12.302521,12.372064,7.811100,4905210
2007-04-10,12.342260,12.483002,12.338948,12.418426,7.840360,7829494
2007-04-11,12.434984,12.468100,12.078989,12.170057,7.683554,9479461
2007-04-12,12.236289,12.302521,11.953149,12.269405,7.746280,6822120
2007-04-13,12.271061,12.434984,12.112105,12.434984,7.850813,8478127
2007-04-16,12.420082,12.863834,12.420082,12.790979,8.075574,19260894
2007-04-17,12.757863,13.117169,12.757863,13.117169,8.281517,14999484
2007-04-18,13.079086,13.110546,12.911851,12.925098,8.160252,17731715
2007-04-19,12.830718,13.122137,12.699910,13.047626,8.237604,13818175
2007-04-20,13.168499,13.246321,13.080742,13.238042,8.357822,15668651
2007-04-23,13.244665,13.367194,13.123793,13.123793,8.285694,6457339
2007-04-24,13.148629,13.411900,12.792635,12.915163,8.153977,8135088
2007-04-25,13.074119,13.209894,13.016166,13.155253,8.305552,8899678
2007-04-26,13.080742,13.436737,13.080742,13.206582,8.337971,15876407
2007-04-27,13.146974,13.236386,12.931721,13.236386,8.356780,8424980
2007-04-30,13.115514,13.289372,12.948279,12.948279,8.174890,5604574
2007-05-02,13.014510,13.405277,13.014510,13.312553,8.404873,8846531
2007-05-03,13.411900,13.709942,13.353947,13.635432,8.608721,10546022
2007-05-04,13.635432,13.882144,13.635432,13.791076,8.706989,10634197
2007-05-07,13.774518,13.989771,13.744714,13.809290,8.718483,7003302
2007-05-08,13.966590,13.991427,13.661924,13.908637,8.781213,14667317
2007-05-09,13.941753,14.438490,13.842406,14.289469,9.021646,26116835
2007-05-10,14.314306,14.438490,13.870554,13.870554,8.757163,21060639
2007-05-11,13.908637,14.163629,13.668548,14.057658,8.875294,10938583
2007-05-14,13.941753,14.155350,13.731468,13.743058,8.676670,9018050
2007-05-15,13.729812,13.946720,13.676827,13.716565,8.659939,21849386
2007-05-16,13.862275,14.155350,13.743058,14.107332,8.906649,14638328
2007-05-17,14.072560,14.481541,13.989771,14.330864,9.047774,15309910
2007-05-18,14.289469,14.830912,14.289469,14.786206,9.335260,19770620
2007-05-21,14.854093,14.900455,14.718319,14.761369,9.319573,13379714
2007-05-22,14.786206,14.786206,14.440146,14.637185,9.241179,16398212
2007-05-23,14.734876,14.741500,14.330864,14.471606,9.136639,20275515
2007-05-24,14.488164,14.488164,13.878833,14.074216,8.885743,16897068
2007-05-25,14.205024,14.226549,13.908637,14.157006,8.938016,8704001
2007-05-28,14.158661,14.339143,14.157006,14.239795,8.990282,4539222
2007-05-29,14.322585,14.388816,13.991427,14.140448,8.927563,9716206
2007-05-30,13.825848,14.289469,13.673515,14.190121,8.958927,13804889
2007-05-31,14.248074,14.296092,13.966590,13.966590,8.817795,17170049
2007-06-01,14.190121,14.522935,14.123890,14.471606,9.136639,14381049
2007-06-04,14.306027,14.438490,14.032821,14.320929,9.041501,13286707
2007-06-05,14.312650,14.312650,14.057658,14.239795,8.990282,11130637
2007-06-06,14.082495,14.115611,13.842406,13.941753,8.802119,9341763
2007-06-08,13.809290,14.056002,13.726500,13.910293,8.782250,13221481
2007-06-11,14.057658,14.330864,13.926851,14.157006,8.938016,10037503
2007-06-12,14.157006,14.157006,13.726500,13.825848,8.728942,12588551
2007-06-13,13.991427,14.170252,13.781141,14.090774,8.896200,19167887
2007-06-14,14.190121,14.463327,14.157006,14.239795,8.990282,12568017
2007-06-15,14.471606,14.554395,14.355700,14.413653,9.100049,19143729
2007-06-18,14.455048,14.584200,14.171908,14.355700,9.063462,15615504
2007-06-19,14.289469,14.493131,14.272911,14.451736,9.124095,14207113
2007-06-20,14.463327,14.662022,14.193433,14.322585,9.042557,14331525
2007-06-21,14.453392,14.604069,14.231516,14.322585,9.042557,12188742
2007-06-22,14.322585,14.363979,14.107332,14.256353,9.000737,14232479
2007-06-25,14.239795,14.388816,14.113955,14.264632,9.005968,10937376
2007-06-26,14.272911,14.463327,14.075872,14.075872,8.886793,11639155
2007-06-27,14.074216,14.107332,13.892079,14.074216,8.885743,14071831
2007-06-28,14.203368,14.236484,14.057658,14.057658,8.875294,9327268
2007-06-29,14.223237,14.322585,14.074216,14.239795,8.990282,8383912
2007-07-02,14.289469,14.413653,14.251386,14.332519,9.048825,7714745
2007-07-03,14.272911,14.463327,14.272911,14.355700,9.063462,8183403
2007-07-04,14.380537,14.405374,14.157006,14.304371,9.031054,4801332
2007-07-05,14.244763,14.453392,14.113955,14.236484,8.988190,11726123
2007-07-06,14.236484,14.236484,14.236484,14.236484,8.988190,0
2007-07-10,14.272911,14.388816,14.065937,14.206679,8.969374,14577933
2007-07-11,14.206679,14.564330,14.087462,14.521280,9.168000,16194080
2007-07-12,14.736532,15.186907,14.519624,15.133922,9.554790,23076595
2007-07-13,15.094183,15.316059,15.003114,15.026296,9.486847,16221861
2007-07-16,14.938539,15.407127,14.902111,15.349175,9.690692,12984736
2007-07-17,15.299501,15.431964,15.241548,15.380635,9.710555,8486582
2007-07-18,15.233269,15.448522,15.150480,15.415406,9.732505,15367889
2007-07-19,15.431964,15.663775,15.431964,15.614101,9.857951,9955367
2007-07-20,15.580985,15.648873,15.160415,15.263074,9.636328,6382451
2007-07-23,15.431964,15.619068,15.241548,15.448522,9.753410,9353842
2007-07-24,15.483294,15.483294,14.570953,14.721630,9.294493,14280794
2007-07-25,14.984901,14.994836,14.372258,14.670301,9.262085,12970242
2007-07-26,14.239795,14.405374,13.822536,14.272911,9.011196,17679776
2007-07-27,14.254697,14.405374,13.825848,13.825848,8.728942,12388042
2007-07-30,14.155350,14.403718,13.906981,14.239795,8.990282,11507496
2007-07-31,14.486508,14.597446,14.239795,14.314306,9.037325,14500629
2007-08-01,14.173564,14.281190,13.827503,14.239795,8.990282,12641698
2007-08-02,14.324240,14.521280,14.238139,14.403718,9.093777,7515444
2007-08-03,14.392128,14.496443,13.916916,14.074216,8.885743,14030763
2007-08-06,14.084151,14.157006,13.529461,14.039445,8.863791,12408576
2007-08-07,14.155350,14.155350,13.625497,13.743058,8.676670,21026818
2007-08-08,13.959967,14.214958,13.842406,13.908637,8.781213,26178437
2007-08-09,13.660269,13.858963,13.418523,13.594037,8.582587,28089307
2007-08-10,13.378784,13.776174,13.201615,13.661924,8.625445,27266739
2007-08-13,13.908637,13.916916,13.388719,13.388719,8.452959,11817922
2007-08-14,13.416867,13.577479,13.019478,13.226452,8.350513,20302089
2007-08-15,13.080742,13.276125,12.592284,12.635334,7.977304,31517278
2007-08-16,12.087268,12.492937,11.790881,12.489625,7.885317,41246771
2007-08-17,13.031068,13.329111,12.310800,12.915163,8.153977,52458336
2007-08-20,13.163532,13.377128,13.049282,13.113858,8.279427,20248942
2007-08-21,13.221484,13.478132,13.064184,13.453295,8.493728,11815506
